지하철역,환승가능여부,출근시간대 승차,출근시간대 하차,퇴근시간대 승차,퇴근시간대 하차,유임이용객,무임이용객,유임이용객 비율,무임이용객 비율
석촌,Y,121444.07342342343,70662.71036036036,83940.9,123066.67567567568,701220.6085585585,151321.231981982,0.823,0.177
우장산,N,149833.46666666667,53934.48333333334,58077.566666666666,131569.81666666665,683505.1833333333,160849.36666666664,0.81,0.19
아차산(어린이대공원후문),N,137452.68333333332,58062.01666666666,70882.51666666666,122466.54999999999,661412.05,174999.86666666664,0.791,0.209
망원,N,91748.86666666667,68070.05,88885.88333333333,118751.71666666666,673685.2166666667,159186.23333333334,0.809,0.191
한티,N,61224.83333333333,111460.83333333331,110058.08333333333,92892.06666666667,706485.2166666667,124056.4,0.851,0.149
중계,N,165004.86666666667,59171.66666666666,52635.433333333334,119367.44999999998,655013.1166666667,168811.83333333334,0.795,0.205
어린이대공원(세종대),N,70242.88333333333,101098.5,108956.80000000002,74388.9,744063.5,79048.48333333334,0.904,0.096
태릉입구,Y,114188.55,64616.88333333334,77843.63333333333,112655.11666666667,690299.5666666667,132116.55,0.839,0.161
대방,N,98501.15,115904.88333333333,102529.48333333334,92801.81666666667,672820.7833333334,130391.70000000001,0.838,0.162
숭실대입구(살피재),N,122603.34999999999,59368.53333333333,69847.68333333333,112098.13333333333,688217.75,111191.88333333333,0.861,0.139
내방,N,66653.06666666668,150110.3,130994.66666666666,73710.91666666666,674445.3166666667,119394.16666666667,0.85,0.15
마곡나루,Y,82119.31666666667,123950.45833333334,138600.18333333332,86123.60833333332,734019.8083333333,56440.95833333333,0.929,0.071
마포,N,79607.06666666665,128861.6,114886.9,96963.15,669658.5833333333,116681.13333333333,0.852,0.148
상왕십리,N,128909.51666666666,67385.38333333333,72190.1,108467.34999999998,641478.8833333333,124748.11666666665,0.837,0.163
수락산,N,133213.56666666668,43366.23333333334,55772.5,113194.18333333333,593163.4166666667,170000.4166666667,0.777,0.223
마포구청,N,122780.6,68849.93333333333,80741.95,92376.84999999999,611648.9833333334,141520.8,0.812,0.188
광나루(장신대),N,118087.68333333333,69622.13333333333,75057.6,93435.95,628800.4166666667,123362.76666666666,0.836,0.164
새절(신사),N,147954.61666666664,39102.316666666666,49012.2,117299.18333333332,579933.9666666667,162212.6666666667,0.781,0.219
